precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 21:49:00",1384,1384,0,550,539,0,11,1528,976,522,28,10,30,14,23,3,246,2,6,11,0,21,72,2,0,59,23
41,VRANCEA,"AȘEZĂMÂNT CULTURAL",344,VINTILEASCA,178475,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:24:54",591,591,0,387,347,0,40,652,265,350,37,1,11,3,3,3,260,1,1,6,0,1,42,0,1,10,7
41,VRANCEA,"ATENEUL POPULAR „MAIOR GHEORGHE PASTIA” FOCȘANI",3,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:22:50",1397,1397,0,663,621,0,42,1536,873,631,32,4,28,11,19,1,307,2,3,15,3,34,81,6,9,85,23
41,VRANCEA,"BIBLIOTECA ORĂȘENEASCĂ ”ANA GEORGESCU”",85,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:18",1460,1460,0,764,746,0,18,1615,851,726,38,3,30,11,14,10,462,7,1,1,13,13,104,4,2,38,13
41,VRANCEA,"CAMIN CULTURAL",119,BROŞTENI,175466,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:27:25",1361,1361,0,814,802,0,12,1501,687,748,66,1,27,5,13,1,507,3,2,8,4,5,116,6,12,19,19
41,VRANCEA,"CAMIN CULTURAL",291,STRĂOANE,177799,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:40:07",766,766,0,429,421,0,8,840,411,414,15,2,14,2,7,1,225,2,1,2,2,7,91,1,5,40,12
41,VRANCEA,"CĂMIN CULTURAL",128,CÂRLIGELE,175732,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:53:42",1108,1108,0,579,543,0,36,1217,638,546,33,0,27,1,6,0,344,0,4,10,6,6,92,24,1,19,6
41,VRANCEA,"CĂMIN CULTURAL",107,BILIEŞTI,178929,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:40:02",1053,1053,0,621,594,0,27,1158,537,588,33,3,35,1,6,1,428,4,0,7,2,11,52,0,7,21,10
41,VRANCEA,"CĂMIN CULTURAL",106,BILIEŞTI,178929,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:34:06",999,999,0,595,563,0,32,1109,514,562,33,0,14,1,12,3,404,2,3,3,1,3,57,6,6,33,14
41,VRANCEA,"CAMIN CULTURAL CALIENII-VECHI",224,NĂNEŞTI,176855,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:11:47",507,507,0,278,239,0,39,556,278,252,26,0,6,0,0,1,188,0,0,3,1,2,25,1,1,23,1
41,VRANCEA,"CAMIN CULTURAL CIORASTI",136,CIORĂŞTI,175590,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:40:11",654,654,0,353,317,0,36,716,363,311,42,5,18,2,3,1,220,0,1,1,2,0,47,1,2,5,3
41,VRANCEA,"CAMIN CULTURAL DUMBRAVENI",152,DUMBRĂVENI,175938,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 17:42:09",1654,1654,0,933,903,0,30,1817,884,855,78,2,58,4,19,1,531,2,5,10,5,9,132,4,13,31,29
41,VRANCEA,"CĂMIN CULTURAL FARAOANELE",333,VÂRTEŞCOIU,178689,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:12:55",974,974,0,568,553,0,15,1071,503,529,39,1,31,2,9,0,404,2,1,6,1,9,38,4,3,12,6
41,VRANCEA,"CĂMIN CULTURAL GOLEŞTI",176,GOLEŞTI,174824,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:19:10",1618,1618,0,780,768,0,12,1786,1006,754,26,5,44,11,15,5,392,6,6,18,2,18,139,1,4,71,17
41,VRANCEA,"CAMIN CULTURAL NANESTI",222,NĂNEŞTI,176855,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:42:08",975,975,0,587,514,0,73,1080,493,551,36,0,15,1,4,2,398,2,0,5,9,7,68,0,6,28,6
41,VRANCEA,"CĂMIN CULTURAL NEICU",99,"ORAŞ PANCIU",175055,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:24:46",498,498,0,255,241,0,14,553,298,230,25,1,14,1,4,2,131,1,2,3,1,3,37,0,1,22,7
41,VRANCEA,"CAMIN CULTURAL PĂULEȘTI",236,PĂULEŞTI,178910,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 16:30:06",581,581,0,382,364,0,18,642,260,344,38,1,11,5,11,3,218,1,5,4,2,1,29,1,3,45,4
41,VRANCEA,"CAMIN CULTURAL PAUNESTI",242,PĂUNEŞTI,177236,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:51:56",1073,1073,0,472,458,0,14,1170,698,419,53,0,22,52,12,1,200,2,1,8,0,11,67,4,2,26,11
41,VRANCEA,"CAMIN CULTURAL POIANA CRISTEI, PRIMARIA COMUNEI POIANA CRISTEI",247,"POIANA CRISTEI",177263,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:43:36",934,934,0,638,626,0,12,1025,387,535,103,0,25,0,11,0,318,0,3,0,0,0,81,2,3,84,8
41,VRANCEA,"CAMIN CULTURAL PRAHUDA",235,PALTIN,177101,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:55:04",419,419,0,265,261,0,4,458,193,245,20,0,9,0,3,0,192,0,1,0,1,0,32,0,1,3,3
41,VRANCEA,"CAMIN CULTURAL(SALA FESTIVITATI)",105,BÂRSEŞTI,175224,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 21:41:19",1103,1103,0,783,690,0,93,1218,435,743,40,1,17,2,16,0,544,2,1,6,4,2,107,1,6,22,12
41,VRANCEA,"CĂMIN CULTURAL SAT SPINEȘTI",357,VRÂNCIOAIA,178750,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:04:16",595,595,0,339,308,0,31,657,318,300,39,2,11,2,3,0,237,0,2,1,4,3,19,0,2,12,2
41,VRANCEA,"CĂMIN CULTURAL TĂTĂRANU",300,TĂTĂRANU,177986,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:35:31",1105,1105,0,568,549,0,19,1218,650,519,49,1,18,7,2,1,378,1,1,5,2,2,51,0,3,40,7
41,VRANCEA,"CĂMIN CULTURAL VERDEA",262,RĂCOASA,177405,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:58:35",551,551,0,348,331,0,17,607,259,307,41,0,15,1,2,0,169,2,0,4,0,1,100,1,2,10,0
41,VRANCEA,"CAMIN CULTURAL VIRTESCOIU",331,VÂRTEŞCOIU,178689,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:04:59",1271,1271,0,669,656,0,13,1401,732,626,43,2,44,5,18,3,381,1,3,15,1,9,88,1,13,30,12
41,VRANCEA,"CAMINUL CULTURAL",117,BORDEŞTI,175439,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-17 21:22:27",960,960,0,594,539,0,55,1049,455,531,63,2,21,4,10,0,331,0,1,6,3,6,60,0,3,77,7
41,VRANCEA,"CAMINUL CULTURAL",190,HOMOCEA,176445,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:55:14",1676,1676,0,469,458,0,11,1841,1372,436,33,0,54,12,2,0,309,0,0,2,6,0,37,2,7,4,1
41,VRANCEA,"CAMINUL CULTURAL",194,HOMOCEA,176445,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:06:09",992,992,0,513,508,0,5,1092,579,468,45,0,64,14,7,0,298,0,2,2,3,5,50,2,7,9,5
41,VRANCEA,"CĂMINUL CULTURAL",283,"SLOBOZIA CIORĂŞTI",177726,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:16:44",1056,1056,0,568,549,0,19,1163,595,529,39,4,51,2,1,1,332,4,4,3,2,5,86,2,8,18,6
41,VRANCEA,"CĂMINUL CULTURAL BOGZA",274,SIHLEA,177600,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:27:21",660,660,0,310,276,0,34,725,415,290,20,2,8,0,1,3,214,1,0,1,2,1,33,2,6,13,3
41,VRANCEA,"CAMINUL CULTURAL BUDESTI",149,COTEŞTI,175885,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:31:18",1469,1469,0,844,800,0,44,1625,781,803,41,4,37,2,14,5,332,5,3,7,6,11,176,5,5,177,14
41,VRANCEA,"CĂMINUL CULTURAL CÂNDEȘTI",153,DUMBRĂVENI,175938,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:35",1132,1132,0,657,614,0,43,1240,583,623,34,5,61,4,14,3,391,2,4,9,3,6,89,6,7,14,5
41,VRANCEA,"CĂMINUL CULTURAL ”DIMITRIE CANTEMIR”",210,MERA,176686,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 09:10:42",1057,1057,0,687,653,0,34,959,272,637,50,1,42,6,4,0,459,0,0,7,2,1,84,4,5,15,7
41,VRANCEA,"CĂMINUL CULTURAL HĂULIȘCA",238,PĂULEŞTI,178910,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 16:28:35",521,521,0,332,318,0,14,574,242,308,23,1,9,8,1,0,209,0,0,1,2,1,58,2,2,8,6
41,VRANCEA,"CĂMINUL CULTURAL „NICOLAE CIORĂSCU” GUGEŞTI",180,GUGEŞTI,176301,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:23:19",1579,1579,0,705,672,0,33,1741,1036,665,40,3,32,4,12,2,431,4,0,9,7,5,102,7,5,34,8
41,VRANCEA,"CĂMINUL CULTURAL RĂCOASA",258,RĂCOASA,177405,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-13 08:51:38",897,897,0,476,460,0,16,985,510,443,32,2,16,2,3,0,268,2,2,2,3,2,109,0,0,17,15
41,VRANCEA,"CAMINUL CULTURAL STRAOANE DE JOS",289,STRĂOANE,177799,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:13:06",1097,1097,0,562,553,0,9,1216,654,536,26,3,32,2,9,1,339,1,1,8,5,6,89,2,1,32,5
41,VRANCEA,"CAMINUL CULTURAL STRAOANE DE SUS",290,STRĂOANE,177799,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:00:08",702,702,0,371,357,0,14,777,406,355,16,3,9,2,9,2,184,2,2,0,0,4,100,2,5,25,6
41,VRANCEA,"CĂMINUL CULTURAL VASILE ȚIROIU BOLOTEȘTI",111,BOLOTEŞTI,175368,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:27:42",596,596,0,311,294,0,17,652,341,292,19,2,12,1,3,0,174,1,0,1,4,9,54,3,2,15,11
41,VRANCEA,"CASA OBŞTII TULNICI",310,TULNICI,178117,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:14:48",1140,1140,0,593,560,0,33,1261,668,536,57,2,22,1,5,1,385,0,1,5,3,8,74,0,1,12,16
41,VRANCEA,"CASA OBŞTII TULNICI",309,TULNICI,178117,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:40:13",1138,1138,0,606,579,0,27,1259,653,542,64,3,29,0,13,1,421,0,1,2,2,4,48,0,3,10,5
41,VRANCEA,"CASA PRAZNICALĂ CIOLĂNEȘTI",168,FITIONEŞTI,176150,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:06",129,129,0,85,72,0,13,141,56,85,0,0,2,0,2,2,43,0,0,0,0,1,18,3,0,13,1
41,VRANCEA,"CASA PRAZNICALĂ FITIONEȘTI",166,FITIONEŞTI,176150,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:26:31",643,643,0,363,347,0,16,707,344,341,22,1,21,7,8,2,175,1,1,4,3,6,54,2,2,49,5
41,VRANCEA,"CASA PRAZNICALĂ GHIMICEȘTI",169,FITIONEŞTI,176150,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:17:17",299,299,0,174,156,0,18,331,157,146,28,5,9,0,7,1,59,3,0,9,0,1,18,2,0,32,0
41,VRANCEA,"CENTRU COMUNITAR MULTIFUNCȚIONAL CORBIȚA",145,CORBIŢA,175787,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 21:27:29",255,255,0,148,144,0,4,280,132,132,16,2,8,0,0,1,97,2,0,0,0,0,10,1,1,8,2
41,VRANCEA,"CENTRU DE ZI, CANTINĂ SOCIALĂ ȘI ÎNGRIJIRE LA DOMICILIU PENTRU PERSOANE VÂRSTNICE",140,CIORĂŞTI,175590,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:50:58",270,270,0,178,167,0,11,296,118,148,30,0,3,1,3,0,101,0,0,1,2,1,31,0,0,4,1
41,VRANCEA,"CENTRUL DE RECUPERARE PENTRU PERSOANE CU HANDICAP",96,"ORAŞ PANCIU",175055,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:35:39",399,399,0,254,239,0,15,442,188,244,10,1,16,0,3,0,99,1,1,7,0,4,63,3,6,36,4
41,VRANCEA,"CENTRU PENTRU EDUCAȚIE TIMPURIE ”LUMEA COPIILOR”",89,"ORAŞ ODOBEŞTI",175019,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:58:43",785,785,0,471,458,0,13,860,389,449,22,3,18,1,11,0,246,2,5,6,0,8,83,9,2,44,11
41,VRANCEA,"COLEGIUL NAŢIONAL ”AL. I. CUZA”",22,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:53:22",838,838,0,398,335,0,63,923,525,380,18,1,15,12,9,3,160,3,4,15,2,27,59,3,2,52,13
41,VRANCEA,"COLEGIUL NAȚIONAL „EMIL BOTTA” - CORP B - SALA DE FESTIVITĂȚI",60,"MUNICIPIUL ADJUD",174860,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 16:03:18",865,865,0,367,348,0,19,953,586,353,14,6,18,11,8,1,196,2,1,4,4,8,59,2,4,22,7
41,VRANCEA,"COLEGIUL NAȚIONAL PEDAGOGIC „SPIRU HARET” FOCȘANI",41,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:20:05",1600,1600,0,760,751,0,9,1765,1005,738,22,7,33,19,30,3,344,6,6,16,3,44,100,5,4,92,26
41,VRANCEA,"COLEGIUL NAŢIONAL ”UNIREA”",30,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:24:26",1083,1083,0,443,409,0,34,1197,754,423,20,1,19,6,16,4,216,2,0,11,1,17,48,2,3,56,21
41,VRANCEA,"COLEGIUL TEHNIC AUTO „TRAIAN VUIA”",8,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:27:57",670,670,0,345,328,0,17,741,396,333,12,6,13,6,5,3,150,1,3,10,2,18,49,0,2,40,25
41,VRANCEA,"COLEGIUL TEHNIC AUTO „TRAIAN VUIA”",9,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:59:48",1035,1035,0,480,472,0,8,1135,655,463,17,0,18,24,19,5,230,1,2,0,4,19,58,0,6,61,16
41,VRANCEA,"COLEGIUL TEHNIC ”EDMOND NICOLAU”",34,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:37",1131,1131,0,498,483,0,15,1254,756,491,7,2,24,7,17,7,236,7,1,17,1,25,62,3,1,63,18
41,VRANCEA,"COLEGIUL TEHNIC „GHEORGHE ASACHI” FOCȘANI",23,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:09:01",1335,1335,0,567,556,0,11,1469,902,551,16,2,20,5,13,2,241,4,5,16,2,25,94,6,2,89,25
41,VRANCEA,"COLEGIUL TEHNIC „GHEORGHE ASACHI” FOCȘANI",24,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:59:47",1582,1582,0,632,612,0,20,1747,1115,609,23,3,33,6,14,5,297,4,7,18,4,17,90,4,6,75,26
41,VRANCEA,"COLEGIUL TEHNIC ”GHEORGHE BALŞ” A",69,"MUNICIPIUL ADJUD",174860,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:59:36",1394,1394,0,659,652,0,7,1535,876,620,39,4,38,103,15,4,295,0,4,7,3,9,89,3,3,25,18
41,VRANCEA,"COLEGIUL TEHNIC ”GHEORGHE BALŞ” B",70,"MUNICIPIUL ADJUD",174860,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:27:18",1198,1198,0,512,498,0,14,1319,807,479,33,4,40,70,11,4,212,2,3,9,3,8,79,3,6,18,7
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",26,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:09:14",937,937,0,417,402,0,15,1037,620,401,16,2,20,5,18,5,200,1,2,8,0,21,51,2,2,53,11
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",27,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:20:19",853,853,0,360,351,0,9,939,579,347,13,3,19,3,16,1,150,0,5,7,3,13,78,1,1,40,7
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",25,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:36:43",983,983,0,399,383,0,16,1081,682,373,26,4,20,5,11,0,190,3,6,10,2,0,67,0,2,47,6
41,VRANCEA,"COLEGIUL TEHNIC ”VALERIU D. COTEA”",21,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 09:41:28",1251,1251,0,642,553,0,89,1368,726,622,20,2,36,13,17,3,298,5,6,11,3,38,92,3,4,63,28
41,VRANCEA,"CONSILIUL LOCAL TĂNĂSOAIA",296,TĂNĂSOAIA,177879,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:08:05",698,698,0,449,409,0,40,768,319,422,27,4,18,5,12,4,160,3,0,3,7,5,88,4,4,102,3
41,VRANCEA,"CONSILIUL LOCAL URECHEŞTI",318,URECHEŞTI,178279,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:08:22",1727,1727,0,883,853,0,30,1898,1015,821,62,4,43,7,19,0,527,3,2,15,8,8,142,6,12,15,10
41,VRANCEA,CREȘĂ,172,GAROAFA,176212,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:18:27",580,580,0,299,290,0,9,635,336,274,25,4,0,2,5,0,158,0,1,3,1,1,60,6,17,14,2
41,VRANCEA,"CᾸMIN CULTURAL SLOBOZIA BOTEṢTI",206,MĂICĂNEŞTI,176613,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:09:25",201,201,0,132,103,0,29,222,90,120,12,0,1,2,1,0,96,0,0,0,2,0,9,2,0,7,0
41,VRANCEA,"DIRECŢIA JUDEŢEANĂ A SPORTURILOR VRANCEA",37,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:50:26",1350,1350,0,567,549,0,18,1491,924,546,21,3,28,9,19,3,254,3,2,14,2,20,102,6,1,59,21
