county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-mandate-faza-1","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-mandate-faza-2","CSORBA IOSIF-ANDREI-voturi","CSORBA IOSIF-ANDREI-mandate-faza-1","CSORBA IOSIF-ANDREI-mandate-faza-2","RÎPA IOAN-voturi","RÎPA IOAN-mandate-faza-1","RÎPA IOAN-mandate-faza-2","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","DRAGOŞ ANA-ADRIANA-voturi","DRAGOŞ ANA-ADRIANA-mandate-faza-1","DRAGOŞ ANA-ADRIANA-mandate-faza-2","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-mandate-faza-1","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-mandate-faza-1","PARTIDUL LEGE EDUCAȚIE UNITATE-mandate-faza-2","ALIANȚA ELECTORALĂ PNL - PRO ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PNL - PRO ROMÂNIA-mandate-faza-1","ALIANȚA ELECTORALĂ PNL - PRO ROMÂNIA-mandate-faza-2","KŰRTI GÁBOR-voturi","KŰRTI GÁBOR-mandate-faza-1","KŰRTI GÁBOR-mandate-faza-2","PARTIDUL ALIANȚA RENAȘTEREA NAȚIONALĂ-voturi","PARTIDUL ALIANȚA RENAȘTEREA NAȚIONALĂ-mandate-faza-1","PARTIDUL ALIANȚA RENAȘTEREA NAȚIONALĂ-mandate-faza-2","ELEKES ALEXANDRU-voturi","ELEKES ALEXANDRU-mandate-faza-1","ELEKES ALEXANDRU-mandate-faza-2","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA ELECTORALĂ PSD PNL-mandate-faza-1","ALIANȚA ELECTORALĂ PSD PNL-mandate-faza-2","MOIŞ GHEORGHE-voturi","MOIŞ GHEORGHE-mandate-faza-1","MOIŞ GHEORGHE-mandate-faza-2","GAL NICOLAE-voturi","GAL NICOLAE-mandate-faza-1","GAL NICOLAE-mandate-faza-2","POP VASILE-voturi","POP VASILE-mandate-faza-1","POP VASILE-mandate-faza-2","SAS PETRU-ADRIAN-voturi","SAS PETRU-ADRIAN-mandate-faza-1","SAS PETRU-ADRIAN-mandate-faza-2","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-mandate-faza-1","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","CÂCĂU IOAN-voturi","CÂCĂU IOAN-mandate-faza-1","CÂCĂU IOAN-mandate-faza-2","KOVACS ŞTEFAN-voturi","KOVACS ŞTEFAN-mandate-faza-1","KOVACS ŞTEFAN-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","POMIAN EMIL-voturi","POMIAN EMIL-mandate-faza-1","POMIAN EMIL-mandate-faza-2","GYENES SZABOLCS-GÁBOR-voturi","GYENES SZABOLCS-GÁBOR-mandate-faza-1","GYENES SZABOLCS-GÁBOR-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-mandate-faza-2","SĂLĂGEAN GHEORGHE-VIOREL-voturi","SĂLĂGEAN GHEORGHE-VIOREL-mandate-faza-1","SĂLĂGEAN GHEORGHE-VIOREL-mandate-faza-2","BABAN DOREL-voturi","BABAN DOREL-mandate-faza-1","BABAN DOREL-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","SOLOMEŞ IACOB-voturi","SOLOMEŞ IACOB-mandate-faza-1","SOLOMEŞ IACOB-mandate-faza-2","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-g8","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-mandate-g8","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2"
32,"SATU MARE",ACÂŞ,136713,2,FINAL,UAT,CL,CL_CE,"2024-06-11 22:04:56",2248,2219,7,9,13,1231,1209,0,9,13,1062,169,2454,1222,53,74,84,76,314,4,0,96,1,0,135,1,1,343,4,1,108,1,0,27,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",AGRIŞ,179873,2,FINAL,UAT,CL,CL_CE,"2024-06-12 13:13:37",1681,1643,0,27,11,990,952,0,27,11,942,47,1815,806,47,65,75,78,183,2,0,0,0,0,42,0,0,426,5,0,204,2,1,0,0,0,0,0,0,34,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",ANDRID,136768,2,FINAL,UAT,CL,CL_CE,"2024-06-12 13:25:13",2031,1974,2,14,41,1327,1272,0,14,41,1266,61,2216,889,63,88,101,112,230,2,0,0,0,0,66,0,1,845,7,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",APA,136802,2,FINAL,UAT,CL,CL_CE,"2024-06-12 00:45:59",2142,2067,0,18,57,1335,1260,0,18,57,1251,84,2332,997,62,87,100,104,601,5,1,0,0,0,372,3,0,172,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",BÂRSĂU,137103,2,FINAL,UAT,CL,CL_CE,"2024-06-12 00:05:03",1878,1745,1,75,57,1284,1151,1,75,57,1204,80,1971,687,60,84,96,96,502,5,0,0,0,0,498,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,57,0,0,61,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",BĂTARCI,136919,3,FINAL,UAT,CL,CL_CE,"2024-06-13 16:19:31",3083,3022,3,27,31,1415,1356,1,27,31,1354,61,3331,1915,67,94,108,100,528,5,0,0,0,0,397,3,1,185,1,1,0,0,0,0,0,0,0,0,0,0,0,0,108,1,0,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",BELTIUG,136964,2,FINAL,UAT,CL,CL_CE,"2024-06-12 10:30:30",2734,2591,11,67,65,1601,1464,5,67,65,1431,170,2928,1327,71,100,114,110,432,3,1,0,0,0,203,1,1,401,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,1,0,0,0,0,0,0,0,0,0,298,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",BERVENI,137032,2,FINAL,UAT,CL,CL_CE,"2024-06-11 22:32:36",2858,2772,7,11,68,1734,1657,2,11,64,1647,87,3129,1395,82,115,131,121,141,1,0,0,0,0,221,1,1,973,8,0,126,1,0,0,0,0,0,0,0,0,0,0,24,0,0,124,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",BIXAD,137069,2,FINAL,UAT,CL,CL_CE,"2024-06-12 14:00:54",6421,6263,1,100,57,3217,3059,1,100,57,2946,271,6925,3708,147,206,235,177,618,3,0,0,0,0,1002,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,618,3,1,179,1,0,238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,93,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",BOGDAND,137130,2,FINAL,UAT,CL,CL_CE,"2024-06-12 14:06:13",2256,2137,0,42,77,1325,1206,0,42,77,1256,68,2356,1031,62,87,100,114,0,0,0,0,0,0,107,0,1,550,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",BOTIZ,137185,3,FINAL,UAT,CL,CL_CE,"2024-06-13 14:58:06",3309,3279,4,6,20,1468,1442,0,6,20,1419,49,3626,2158,70,99,113,100,520,5,0,0,0,0,218,2,0,350,3,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,1,21,0,0,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"SATU MARE",CĂLINEŞTI-OAŞ,137229,2,FINAL,UAT,CL,CL_CE,"2024-06-11 23:21:02",4245,4167,2,43,33,2313,2237,0,43,33,2202,111,4597,2284,110,154,176,140,687,4,1,0,0,0,370,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,1,0,195,1,0,110,0,1,398,2,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
