precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFAN CORNELIU-PARTIDUL SOCIAL DEMOCRAT-voturi","ION SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","IACOB CONSTANTIN-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PLĂIAŞU GABRIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"AFTER- SCHOOL",414,VÂRFURI,69447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:49:19",681,670,1,4,6,380,370,0,4,6,366,14,740,360,291,35,29,11
16,DÂMBOVIŢA,"AFTER SCHOOL BĂRBULEŢU",140,BĂRBULEŢU,66223,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:01:54",1270,1270,0,0,0,698,698,0,0,0,663,35,1400,702,481,52,116,14
16,DÂMBOVIŢA,"BIBLIOTECA COMUNALĂ",358,RĂZVAD,65431,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:09",1397,1389,3,2,3,758,753,0,2,3,738,17,1520,765,533,85,56,64
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - CORP B (SALA CĂSĂTORII)",31,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:41",1042,1032,4,6,0,469,463,0,6,0,462,7,1150,681,235,101,39,87
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE, BLOC E4",29,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:04:27",800,791,1,8,0,379,371,0,8,0,363,16,870,491,214,57,36,56
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE (PUNCT TERMIC)",30,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:16:23",795,788,2,5,0,379,374,0,5,0,358,21,870,491,195,68,45,50
16,DÂMBOVIŢA,"CAMIN CULTURAL",158,BUCIUMENI,66438,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:25:22",959,923,0,3,33,565,529,0,3,33,550,15,1050,485,501,30,14,5
16,DÂMBOVIŢA,"CAMIN CULTURAL",156,BUCIUMENI,66438,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:07",1439,1411,3,1,24,793,767,1,1,24,751,42,1590,797,491,136,70,54
16,DÂMBOVIŢA,"CĂMIN CULTURAL",333,PETREŞTI,65752,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:51:37",575,562,0,5,8,394,381,0,5,8,375,19,620,226,152,184,29,10
16,DÂMBOVIŢA,"CĂMIN CULTURAL",348,PRODULEŞTI,68529,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:52:55",1415,1398,2,2,13,780,764,1,2,13,737,43,1550,770,581,79,55,22
16,DÂMBOVIŢA,"CĂMIN CULTURAL",415,VÂRFURI,69447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:43:52",759,756,0,0,3,437,434,0,0,3,425,12,830,393,316,56,35,18
16,DÂMBOVIŢA,"CĂMIN CULTURAL",215,"COSTEŞTII DIN VALE",67121,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:46:16",1255,1245,0,3,7,792,782,0,3,7,745,47,1380,588,340,320,68,17
16,DÂMBOVIŢA,"CĂMIN CULTURAL",423,VLĂDENI,179711,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:05",997,992,1,1,3,516,512,0,1,3,496,20,1102,585,297,102,45,52
16,DÂMBOVIŢA,"CĂMIN CULTURAL",221,CREVEDIA,102286,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:16",734,648,2,74,10,500,416,0,74,10,474,26,720,220,238,117,42,77
16,DÂMBOVIŢA,"CĂMIN CULTURAL",416,VIŞINA,69330,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:52:27",1300,1272,0,11,17,913,885,0,11,17,864,44,1420,507,462,323,63,16
16,DÂMBOVIŢA,"CĂMIN CULTURAL BĂLTENI, LOCALITATEA BĂLTENI, STRADA EROILOR, NR. 66",191,CONŢEŞTI,66768,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:22:15",715,705,1,0,9,503,494,0,0,9,476,27,790,287,453,7,10,6
16,DÂMBOVIŢA,"CĂMIN CULTURAL CĂPRIORU",389,TĂTĂRANI,68921,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:22:32",1329,1325,1,1,2,760,756,1,1,2,725,35,1460,700,534,64,108,19
16,DÂMBOVIŢA,"CĂMIN CULTURAL CÎNDEȘTI DEAL",167,CÂNDEŞTI,66526,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:08:48",167,147,0,17,3,135,115,0,17,3,130,5,160,25,26,88,14,2
16,DÂMBOVIŢA,"CĂMIN CULTURAL CÎNDEȘTI VALE",166,CÂNDEŞTI,66526,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:42:20",995,970,1,11,13,736,712,0,11,13,722,14,1056,320,322,249,123,28
16,DÂMBOVIŢA,"CĂMIN CULTURAL MOŢĂIENI",309,MOŢĂIENI,65645,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:47:29",1315,1278,2,6,29,790,755,0,6,29,759,31,1440,650,277,418,36,28
16,DÂMBOVIŢA,"CĂMIN CULTURAL PETREȘTI",329,PETREŞTI,65752,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:57:20",1126,1124,0,1,1,658,656,0,1,1,630,26,1240,582,187,336,91,16
16,DÂMBOVIŢA,"CĂMIN CULTURAL PRIBOIU",391,TĂTĂRANI,68921,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:15:44",710,699,1,3,7,527,517,0,3,7,499,28,780,253,397,28,58,16
16,DÂMBOVIŢA,"CĂMIN CULTURAL ŞOTÂNGA",380,ŞOTÂNGA,65477,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:48:45",1102,1095,1,6,0,539,533,0,6,0,522,17,1210,671,390,47,45,40
16,DÂMBOVIŢA,"CĂMIN CULTURAL SULTANU",420,VIŞINEŞTI,69394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:33:13",229,224,0,4,1,133,128,0,4,1,131,2,250,117,100,15,10,6
16,DÂMBOVIŢA,"CĂMIN CULTURAL TEIŞ",383,ŞOTÂNGA,65477,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:18:07",1201,1196,0,5,0,547,542,0,5,0,521,26,1320,773,393,44,56,28
16,DÂMBOVIŢA,"CAMINUL CULTURAL",188,COMIŞANI,66731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:41",1521,1500,0,6,15,964,943,0,6,15,948,16,1650,686,682,69,101,96
16,DÂMBOVIŢA,"CĂMINUL CULTURAL",425,VOINEŞTI,69526,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:25:57",941,933,0,7,1,592,584,0,7,1,565,27,1040,448,411,39,85,30
16,DÂMBOVIŢA,"CĂMINUL CULTURAL",145,BILCIUREŞTI,66401,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:25:33",1517,1441,2,45,29,1168,1092,2,45,29,1130,38,1620,452,653,199,216,62
16,DÂMBOVIŢA,"CAMINUL CULTURAL COMISANI",186,COMIŞANI,66731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:54:16",1365,1344,4,5,12,786,769,0,5,12,764,22,1480,694,579,68,58,59
16,DÂMBOVIŢA,"CĂMINUL CULTURAL DRAGODĂNEȘTI",168,CÂNDEŞTI,66526,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:41:01",625,607,0,7,11,446,428,0,7,11,428,9,670,233,200,126,85,17
16,DÂMBOVIŢA,"CĂMINUL CULTURAL „ECATERINA OPROIU”",429,VULCANA-BĂI,69615,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:49:51",1346,1299,0,14,33,826,779,0,14,33,794,32,1430,604,420,270,63,41
16,DÂMBOVIŢA,"CĂMINUL CULTURAL GHIMPAȚI",120,"ORAŞ RĂCARI",68627,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:31",646,597,1,26,22,449,400,1,26,22,436,13,690,241,71,309,36,20
16,DÂMBOVIŢA,"CĂMINUL CULTURAL GURA OCNIȚEI",256,"GURA OCNIŢEI",67595,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:52:27",1378,1374,0,0,4,668,664,0,0,4,639,29,1520,852,251,222,137,29
16,DÂMBOVIŢA,"CĂMINUL CULTURAL GURA OCNIȚEI",257,"GURA OCNIŢEI",67595,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:06:55",1505,1492,3,6,4,806,796,0,6,4,766,40,1640,834,429,131,156,50
16,DÂMBOVIŢA,"CĂMINUL CULTURAL „IH RĂDULESCU”",430,VULCANA-BĂI,69615,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:49",1152,1118,1,13,20,635,602,0,13,20,606,29,1260,625,337,167,47,55
16,DÂMBOVIŢA,"CĂMINUL CULTURAL I.L.CARAGIALE",275,"I. L. CARAGIALE",67737,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:43:10",1495,1465,0,6,24,916,886,0,6,24,856,60,1610,694,501,288,58,9
16,DÂMBOVIŢA,"CĂMINUL CULTURAL ”IZVOR DE APĂ VIE”",431,VULCANA-PANDELE,179640,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:15:20",1233,1226,2,1,4,635,630,0,1,4,614,21,1370,735,379,121,73,41
16,DÂMBOVIŢA,"CĂMINUL CULTURAL ”MATEI VOIEVOD”",64,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:12:43",1407,1397,3,7,0,600,593,0,7,0,577,23,1540,940,371,97,66,43
16,DÂMBOVIŢA,"CĂMINUL CULTURAL MOGOŞEŞTI",242,DRAGOMIREŞTI,67407,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:31:22",475,472,0,3,0,292,289,0,3,0,286,6,520,228,207,23,40,16
16,DÂMBOVIŢA,"CAMINUL CULTURAL PIETRARI",334,PIETRARI,179908,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:54:19",1410,1389,0,18,3,1003,982,0,18,3,967,36,1530,527,459,166,300,42
16,DÂMBOVIŢA,"CAMINUL CULTURAL VALEA LUNGA CRICOV",400,"VALEA LUNGĂ",69063,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:55:12",1018,1012,0,4,2,558,552,0,4,2,547,11,1120,562,430,41,56,20
16,DÂMBOVIŢA,"CĂMINUL CULTURAL VIȘINEȘTI",419,VIŞINEŞTI,69394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:44:47",712,692,0,4,16,415,395,0,4,16,398,17,780,365,287,59,29,23
16,DÂMBOVIŢA,"CANTINA DE AJUTOR SOCIAL",24,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:29:23",938,928,0,10,0,378,368,0,10,0,369,9,1020,642,254,55,37,23
16,DÂMBOVIŢA,"CASA CORPULUI DIDACTIC",1,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:58:35",1528,1518,0,10,0,603,593,0,10,0,566,37,1681,1078,352,85,60,69
16,DÂMBOVIŢA,"CASA CORPULUI DIDACTIC",2,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:51:08",1543,1537,1,4,1,719,715,0,4,0,697,22,1710,990,394,149,49,105
16,DÂMBOVIŢA,"CENTRU DE ASISTENȚĂ DUPĂ PROGRAM ȘCOLAR",403,"VALEA LUNGĂ",69063,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:57:33",1057,1051,0,4,2,587,581,0,4,2,566,21,1160,573,394,52,89,31
16,DÂMBOVIŢA,"CENTRUL DE CULTURĂ ING. ”MIHAIL LUPESCU”",86,"ORAŞ FIENI",65609,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:28:52",1538,1525,1,8,4,714,702,0,8,4,675,39,1680,966,364,147,96,68
16,DÂMBOVIŢA,"CENTRUL DE CULTURĂ ŞI TRADIŢIE POPULARĂ BRĂNEŞTI",150,BRĂNEŞTI,66009,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:25:09",1258,1247,2,7,2,713,704,0,7,2,692,21,1370,657,375,202,51,64
16,DÂMBOVIŢA,"CENTRUL DE ZI DE SOCIALIZARE ȘI PETRECERE A TIMPULUI LIBER - TIP CLUB",110,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:08",1103,1097,1,5,0,520,515,0,5,0,505,15,1210,690,355,75,40,35
16,DÂMBOVIŢA,"CENTRUL EDUCATIV PENTRU COPII SĂRACI RĂZVAD",360,RĂZVAD,65431,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:57:33",1134,1126,4,4,0,614,610,0,4,0,595,19,1240,626,448,56,44,47
16,DÂMBOVIŢA,"CLĂDIREA ADMINISTRATIVĂ A CONSILIULUI LOCAL BRANIŞTEA",149,BRANIŞTEA,66152,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:45:28",131,123,0,7,1,105,97,0,7,1,97,8,140,35,76,18,3,0
16,DÂMBOVIŢA,"CLUB CRISTIAN ( UZINA AUTOMECANICĂ MORENI )",67,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:27:08",662,656,1,5,0,330,325,0,5,0,322,8,720,390,200,50,34,38
16,DÂMBOVIŢA,"CLUB FLACĂRA NR.2",70,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:37",786,780,0,6,0,407,401,0,6,0,394,13,850,443,208,49,33,104
16,DÂMBOVIŢA,"COLEGIUL ECONOMIC ”ION GHICA”",32,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:17:55",976,951,15,9,1,467,457,0,9,1,451,16,1050,583,251,93,38,69
16,DÂMBOVIŢA,"COLEGIUL ECONOMIC ”ION GHICA”",33,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:45:29",1180,1170,0,9,1,539,529,0,9,1,521,18,1290,751,307,100,41,73
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”CONSTANTIN CARABELLA”",13,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:50:07",1004,998,0,6,0,490,484,0,6,0,474,16,1110,620,269,88,40,77
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”IENĂCHIȚĂ VĂCĂRESCU”",34,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:38:53",1512,1504,3,5,0,674,669,0,5,0,653,21,1650,976,390,111,55,97
16,DÂMBOVIŢA,"COLEGIUL NATIONAL „NICOLAE TITULESCU”",109,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:29:32",1048,1034,2,5,7,469,457,0,5,7,447,22,1160,691,287,95,35,30
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”NICOLAE TITULESCU””",108,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:18",1127,1114,5,6,2,531,523,0,6,2,513,18,1240,709,324,92,53,44
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",53,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:07",677,667,0,10,0,286,276,0,10,0,281,5,729,443,191,31,39,20
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",54,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:06:17",748,740,2,6,0,300,294,0,6,0,289,11,820,520,181,46,32,30
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",52,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:46:37",1384,1377,0,7,0,615,608,0,7,0,592,23,1520,905,409,83,51,49
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",51,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:53",1232,1226,0,6,0,403,397,0,6,0,388,15,1360,957,272,38,51,27
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ” VLADIMIR STREINU”",95,"ORAŞ GĂEŞTI",65681,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:39:03",1482,1471,1,8,2,906,895,1,8,2,893,13,1610,704,419,351,73,50
16,DÂMBOVIŢA,"DISPENSAR UMAN GULIA",387,TĂRTĂŞEŞTI,105534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:23:09",1074,1049,1,23,1,668,644,0,23,1,646,22,1150,482,458,42,77,69
16,DÂMBOVIŢA,"GĂDINIȚA CU PROGRAM NORMAL BĂLENI",138,BĂLENI,66198,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:05:03",1393,1393,0,0,0,767,767,0,0,0,734,33,1540,773,330,306,63,35
16,DÂMBOVIŢA,"GRĂDINIŢA BĂLTENI, LOCALITATEA BĂLTENI, STRADA EROILOR, NR. 235",192,CONŢEŞTI,66768,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:38:10",773,769,0,3,1,344,340,0,3,1,329,15,850,506,264,27,28,10
16,DÂMBOVIŢA,"GRĂDINIȚA BRÂNCOVEANU",323,ODOBEŞTI,68342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:22",496,495,0,1,0,353,352,0,1,0,340,13,545,192,193,118,20,9
16,DÂMBOVIŢA,"GRĂDINIŢA BROŞTENI",418,VIŞINA,69330,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:39:28",953,930,1,17,5,592,570,0,17,5,576,16,1030,436,293,218,51,14
16,DÂMBOVIŢA,"GRĂDINIŢA BUMBUIA",254,"GURA FOII",65707,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:03:21",359,340,0,9,10,282,263,0,9,10,273,9,390,108,197,60,13,3
16,DÂMBOVIŢA,"GRĂDINIȚA CROITORI",393,ULIEŞTI,68976,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:01:55",646,640,1,4,1,469,464,0,4,1,460,9,720,251,248,152,48,12
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL",224,CREVEDIA,102286,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:16:09",1543,1381,7,151,4,1040,885,0,151,4,989,48,1520,483,353,392,80,164
16,DÂMBOVIŢA,"GRÃDINIŢA CU PROGRAM NORMAL BÃDENI",367,RUNCU,68716,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:56:04",814,794,1,2,17,368,349,0,2,17,352,16,880,512,229,67,42,14
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL BĂLENI",139,BĂLENI,66198,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:33:14",1490,1488,0,2,0,894,892,0,2,0,841,53,1640,746,523,219,80,19
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂCENI",195,"CORBII MARI",66857,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:28:24",400,396,0,4,0,263,259,0,4,0,253,10,440,177,214,11,16,12
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL BRĂTEȘTII DE JOS",409,VĂCĂREŞTI,69250,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:08:51",554,549,0,5,0,302,297,0,5,0,294,8,610,307,151,105,25,13
16,DÂMBOVIŢA,"GRÃDINIŢA CU PROGRAM NORMAL BREBU",368,RUNCU,68716,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:44:43",534,524,1,5,4,308,299,0,5,4,300,8,580,272,204,42,47,7
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL BUTOIU DE SUS",266,HULUBEŞTI,67675,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:46",622,617,0,5,0,425,420,0,5,0,411,13,680,250,239,78,79,15
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL COLIBAȘI",269,IEDERA,65869,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:15:24",413,408,1,4,0,246,241,1,4,0,241,5,450,204,109,55,42,35
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL CRICOVU DULCE",270,IEDERA,65869,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:39:50",316,311,1,4,0,164,160,0,4,0,154,10,340,176,63,53,15,23
16,DÂMBOVIŢA,"GRADINITA CU PROGRAM NORMAL GHERGHIŢEŞTI",176,COBIA,66580,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:07:34",963,914,0,11,38,695,646,0,11,38,684,11,1010,315,512,46,117,9
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL GLOGOVEANU",378,ŞELARU,68887,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:31:32",534,528,0,6,0,312,306,0,6,0,305,7,580,268,210,61,25,9
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL I.L. CARAGIALE",274,"I. L. CARAGIALE",67737,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:28",635,626,0,7,2,367,360,0,7,0,355,9,690,326,152,149,35,19
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL MĂGURA",267,HULUBEŞTI,67675,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:30:03",520,514,0,4,2,370,364,0,4,2,343,19,570,208,181,76,33,53
