precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL OAMENILOR LIBERI-voturi","CHEŢAN VASILE-voturi"
28,MUREŞ,"CĂMINUL CULTURAL BOBOHALMA",150,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:14:00",779,773,1,5,0,322,317,0,5,0,305,17,860,538,3,118,40,122,3,1,2,16
28,MUREŞ,"CASA DE CULTURĂ MIHAI EMINESCU",138,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:15:26",1151,1144,0,7,0,459,452,0,7,0,439,20,1260,801,41,72,140,131,10,3,21,21
28,MUREŞ,"CENTRUL SOCIAL VICTORIA",146,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:33:31",1050,1042,3,4,1,463,456,2,4,1,450,13,1150,687,31,92,131,140,18,1,13,24
28,MUREŞ,"CLUBUL PENSIONARILOR NR. 2",145,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:57",1090,1082,2,6,0,425,419,0,6,0,409,16,1198,773,61,91,77,109,15,12,17,27
28,MUREŞ,"COLEGIUL TEHNIC",139,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:58",870,865,1,4,0,348,343,1,4,0,337,11,958,610,69,47,80,95,13,3,11,19
28,MUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR. 6",152,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:38:13",476,468,2,6,0,215,209,0,6,0,201,14,519,304,5,38,60,77,4,0,7,10
28,MUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 6",144,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:32",1068,1063,1,4,0,413,409,0,4,0,402,11,1180,767,54,70,102,106,21,5,6,38
28,MUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.1",135,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:57",908,901,0,7,0,415,408,0,7,0,402,13,1000,585,81,54,77,132,19,5,17,17
28,MUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",132,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:31",965,957,0,8,0,348,340,0,8,0,341,7,1060,712,54,57,84,84,11,1,27,23
28,MUREŞ,"LICEUL CONSTANTIN BRÂNCUŞI",137,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:11",1024,1018,0,6,0,360,354,0,6,0,345,15,1130,770,51,65,71,100,12,11,17,18
28,MUREŞ,"LICEUL TEORETIC ANDREI BÂRSEANU",142,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:50:30",1246,1209,7,6,24,506,476,0,6,24,496,10,1340,833,60,75,121,175,9,4,26,26
28,MUREŞ,"LICEUL TEORETIC ANDREI BÂRSEANU",143,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:54",1247,1240,2,4,1,460,455,0,4,1,451,9,1270,810,62,97,104,136,8,1,19,24
28,MUREŞ,"ŞCOALA GIMNAZIALĂ AVRAM IANCU",140,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:22",861,855,1,5,0,280,275,0,5,0,269,11,960,680,38,64,46,75,9,7,5,25
28,MUREŞ,"ȘCOALA GIMNAZIALĂ AVRAM IANCU",141,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:37",905,894,4,7,0,333,326,0,7,0,327,6,1000,667,77,49,65,82,13,5,13,23
28,MUREŞ,"ȘCOALA GIMNAZIALĂ NR.3",134,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:11",975,970,0,5,0,377,372,0,5,0,344,33,1080,703,15,87,59,145,7,3,5,23
28,MUREŞ,"ȘCOALA GIMNAZIALĂ NR.3",133,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:36",1100,1091,0,9,0,459,450,0,9,0,393,66,1200,741,11,65,50,175,8,8,3,73
28,MUREŞ,"ȘCOALA GIMNAZIALĂ TRAIAN",136,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:56:48",1095,1085,3,7,0,457,450,0,7,0,436,21,1200,743,82,94,88,125,9,3,8,27
28,MUREŞ,"ŞCOALA GIMNAZIALĂ VASILE MOLDOVAN",148,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:53",1112,1104,4,4,0,464,460,0,4,0,400,64,1210,746,8,57,129,171,4,9,12,10
28,MUREŞ,"ŞCOALA GIMNAZIALĂ VASILE MOLDOVAN",149,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:55:10",1402,1394,2,6,0,473,466,1,6,0,464,9,1220,747,58,99,113,121,10,5,30,28
28,MUREŞ,"ŞCOALA GIMNAZIALĂ VASILE MOLDOVAN",147,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:47:10",981,970,3,7,1,376,368,0,7,1,371,5,1090,714,39,84,79,117,18,0,17,17
28,MUREŞ,"ŞCOALA PRIMARĂ BOTORCA",151,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:43:45",293,289,0,4,0,132,128,0,4,0,125,7,287,155,12,29,18,57,5,0,2,2
